Código,Descripción,Precio
,,
XPB160-2018CB.,,"297,00"
XPB110-36CB,,"248,00"
XPB80-107SIB.,LAVADORA DOBLE TINA DE 8 KG. S/B,"159,00"
Cannes-60,"FERRETTI COCINA 24"" 4H ACERO","445,00"
Cannes-70,,"580,00 NO HAY"
Cannes-90,,"640,00"
30-6HBBQSAB,"COCINA JAGUAR 30"" 6H ACERO","425,00"
20-4H,NE C/G,"182,00"
20-4H,SIL C/G,"182,00"
718LG,,"887,00"
518LG,,"711,00"
100LG,,"179,00"
100LB,,"177,00"
145LG,,"222,00"
145LB,,"220,00"
310LG,,"388,00"
310LB,,"388,00"
100LGR,,"169,00"
100LBR,,"169,00"
150LGR,,"219,00"
150LBR,,"219,00"
200LGR,,"265,00"
200LBR,,"265,00"
1P,-L-395 LG,"1560,00"
2P,-L-840 LG,"2295,00"
3P,-L-1280 LG,"3455,00"
1-PV-330L,,"550,00"
2-PV-700L,,"1090,00"
3-PV-1100L,,"1595,00"
1P-410LN,,"789,00"
2P-715LN,NEGRO-GRIS-GRAFITY-,"1398,00"
NESS-288L,,"455,00"
NEN-230L,NEVERA HOGAR,"295,00"
NESS230L,NEVERA HOGAR,"303,00"
NEJ-92L,,"156,00"
NEJ-92LN,,"179,00"
LM-YL1-1119B,,"105,00"
LM-YL1-109B,DISP DE AGUA BLANCO,"96,00"
LM-YL1-115B,DISP DE AGUA NEGRO/PLATEADO,"109,00"
INFERIOR,DISP DE AGUA NEGRO,"169,00"
,,"125,00 15 DIAS"
,,"159,00 15 DIAS"
,,"130,00 15 DIAS"
,,"140,00 15 DIAS"
,,"194,00 15 DIAS"
OLLA,DE PRESION 6 LITROS,"49,00"
OLLA,DE PRESION 8 LITROS,"62,00"
AZUL/PLATA,- NEGRO/PLATA -,"45,00"
AF-555M,,"72,00"
ATC-351EA,FREIDORA DE 5LT DIGITAL TIME,"52,00"
CH-500,FREIDORA 5L SS,"69,00"
BL-800W,LICUADORA 800W,"32,00"
BL-900W,LICUADORA 900W,"41,00"
EJE,DE BASE,"3,00"
CUCHILLA,,"4,00"
CA-900W,CAFETERA 10 TAZAS,"26,00"
EXT-1000W,EXTRACTOR DE JUGO,"28,00 TRANSITO"
,,"10,00"
,,"12,00"
,,"19,00"
,,"17,00"
1HP,DELUXE BOMBA 1HP,"47,00 TRANSITO"
1/2HP,DELUX BOMBA 1/2HP DELUX,"30,00 TRANSITO"
1/2,HP RE BOMBA 1/2 HP RE,"24,00 TRANSITO"
TERMOSTATO,,"2,50 TRANSITO"
CONEXIÓN,DE 5 VIAS,"4,50 TRANSITO"
PRESOSTATO,20/40,"1,50 TRANSITO"
CONTROL,DE PRESION,"20,00 TRANSITO"
MANGUERA,FLEXIBLE,"5,00 TRANSITO"
