Código,Descripción,Precio
OEG-4TWC,COCINA GAS 4 HORNILLAS C/TAPA DE VIDRIO: Tope,119.00
OEG-4TBC,COCINA GAS 4 HORNILLAS C/TAPA DE VIDRIO: Tope,119.00
OEG-4TGC,COCINA GAS 4 HORNILLAS C/TAPA DE VIDRIO: Tope,119.00
OEG-4TIC,COCINA GAS 4 HORNILLAS C/TAPA DE VIDRIO: Tope,129.00
OEG-6TWC,COCINA GAS 6 HORNILLAS C/TAPA DE VIDRIO: Tope,219.00
OEG-6TBC,COCINA GAS 6 HORNILLAS C/TAPA DE VIDRIO: Tope,219.00
OEG-6TGC,COCINA GAS 6 HORNILLAS C/TAPA DE VIDRIO: Tope,219.00
OEG-6TIC,COCINA GAS 6 HORNILLAS C/TAPA DE VIDRIO: Tope,235.00
OEG-4MRW,INOX Color Blanco,39.00
OEG-4MRB,COCINA GAS 4 HORNILLAS MESA TOPE ACERO INOX,39.00
OEG-4MRG,COCINA GAS 4 HORNILLAS MESA TOPE ACERO INOX,39.00
,,95.00
OWD-03B,(cid:88)(cid:90)(cid:85)(cid:74)(cid:87)(cid:78)(cid:84)(cid:87)(cid:17)(cid:5)(cid:89)(cid:70)(cid:83)(cid:86)(cid:90)(cid:74)(cid:5)(cid:70)(cid:72)(cid:74)(cid:87)(cid:84)(cid:5)(cid:78)(cid:83)(cid:84)(cid:93)(cid:17)(cid:72)(cid:84)(cid:82)(cid:85)(cid:87)(cid:74)(cid:88)(cid:84)(cid:87)(cid:5)(cid:73)(cid:74)(cid:5)(cid:70)(cid:81)(cid:89)(cid:70)(cid:5)(cid:74)(cid:261)(cid:72)(cid:78)(cid:74)(cid:83)(cid:72)(cid:78)(cid:70)(cid:5),95.00
DISPENSADOR,DE AGUA DISEÑO DE LUJO,99.00
OWD-G2B,"puerta de vidrio, despensa, agua fría caliente y bloqueo",99.00
OWD-G2S,"puerta de vidrio, despensa, agua fría caliente y bloqueo",99.00
,,149.00
CONGELADOR,HORIZONTAL BLANCO 198 LTS: función,225.00
CONGELADOR,HORIZONTAL BLANCO 249 LTS: función,309.00
CONGELADOR,HORIZONTAL BLANCO 293 LTS: función,339.00
CONGELADOR,HORIZONTAL BLANCO 508 LTS: función,609.00
OWS-7TB,7 KG tapas plásticas /potente centrifugado y reductor,149.00
OWS-7TP,7 KG tapas plásticas azul/potente centrifugado y,149.00
OWS-85TP,"8,5 KG tapas plásticas azul/potente centrifugado y",165.00
OWS-8TA,8 KG tapas plásticas Azul/potente centrifugado y re-,155.00
OWS-8TB,8 KG tapas plásticas /potente centrifugado y reductor,155.00
,,165.00
OTL-42SB,,175.00
OTL-43BS,,185.00
OTL-51SB,,299.00
OAW-05M,(cid:22)(cid:22)(cid:21)(cid:59)(cid:5)(cid:82)(cid:70)(cid:83)(cid:90)(cid:70)(cid:81)(cid:17)(cid:5)(cid:5)(cid:74)(cid:261)(cid:72)(cid:78)(cid:74)(cid:83)(cid:72)(cid:78)(cid:70)(cid:5)(cid:74)(cid:83)(cid:74)(cid:87)(cid:76)(cid:171)(cid:89)(cid:78)(cid:72)(cid:70),119.00
OAW-06M,(cid:22)(cid:22)(cid:21)(cid:59)(cid:5)(cid:82)(cid:70)(cid:83)(cid:90)(cid:70)(cid:81)(cid:17)(cid:5)(cid:5)(cid:74)(cid:261)(cid:72)(cid:78)(cid:74)(cid:83)(cid:72)(cid:78)(cid:70)(cid:5)(cid:74)(cid:83)(cid:74)(cid:87)(cid:76)(cid:171)(cid:89)(cid:78)(cid:72)(cid:70),122.00
OAW-08C,(cid:22)(cid:22)(cid:21)(cid:59)(cid:5)(cid:72)(cid:84)(cid:83)(cid:5)(cid:72)(cid:84)(cid:83)(cid:89)(cid:87)(cid:84)(cid:81)(cid:5)(cid:87)(cid:74)(cid:82)(cid:84)(cid:89)(cid:84)(cid:17)(cid:5)(cid:74)(cid:261)(cid:72)(cid:78)(cid:74)(cid:83)(cid:72)(cid:78)(cid:70)(cid:5)(cid:74)(cid:83)(cid:74)(cid:87)(cid:76)(cid:171)(cid:89)(cid:78)(cid:72)(cid:70),169.00
OAW-09C,,179.00
OAW-12M,220V Manual,229.00
,,235.00
11(cid:21)(cid:59)(cid:17)(cid:5)(cid:72)(cid:84)(cid:83)(cid:89)(cid:87)(cid:84)(cid:81)(cid:5)(cid:87)(cid:74)(cid:82)(cid:84)(cid:89)(cid:84)(cid:5)(cid:74)(cid:261)(cid:72)(cid:78)(cid:74)(cid:83)(cid:72)(cid:78)(cid:70)(cid:5)(cid:74)(cid:83)(cid:74)(cid:87)(cid:76)(cid:171)(cid:89)(cid:78)(cid:72)(cid:70),,235.00
OAW-18M,"220V, Manual",365.00
OAS-12W2,Control Remoto,229.00
OBT-1442N,BASE DE TV DE 14” a 42” FIJA ultra resistente,4.90
OBT-2663N,Acero Laminado,5.90
OBT-4080N,Acero Laminado,7.90
OBT-3255N,BASE DE TV DE 32” a 55” MOVIBLE ultra resistente /,14.90
OPM-121V,(cid:85)(cid:70)(cid:87)(cid:70)(cid:5)(cid:89)(cid:91)(cid:17)(cid:5)(cid:73)(cid:91)(cid:73)(cid:17)(cid:5)(cid:89)(cid:74)(cid:81)(cid:171)(cid:75)(cid:84)(cid:83)(cid:84)(cid:88)(cid:17)(cid:5)(cid:74)(cid:86)(cid:90)(cid:78)(cid:85)(cid:84)(cid:88)(cid:5)(cid:73)(cid:74)(cid:5)(cid:72)(cid:84)(cid:82)(cid:85)(cid:90)(cid:89)(cid:70)(cid:72)(cid:78)(cid:181)(cid:83),7.90
OP3-120V,"color blanco para refrigeradores, disp. de agua, im-",9.90
OP3-121V,"color negro para refrigeradores, disp. de agua, im-",9.90
aires,"acondicionados 220V, congeladores,",12.50
